miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT030954,hsa-miR-21-5p,hsa,PTPN14,5784.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25803229.0
MIRT001190,hsa-miR-21-5p,hsa,PTEN,5728.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25803229.0
MIRT006895,hsa-miR-204-5p,hsa,RUNX2,860.0,hsa,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25806689.0
MIRT006216,hsa-miR-93-5p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26087719.0
MIRT063056,hsa-miR-106a-5p,hsa,ULK1,8408.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27372519.0
MIRT063056,hsa-miR-106a-5p,hsa,ULK1,8408.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27372519.0
MIRT053215,hsa-miR-143-3p,hsa,CD44,960.0,hsa,qRT-PCR//Western blot,Functional MTI,26722463.0
MIRT734525,hsa-miR-143-3p,hsa,MMP9,4318.0,hsa,qRT-PCR//Western blot,Functional MTI,26722463.0
MIRT021307,hsa-miR-125a-5p,hsa,EIF4EBP1,1978.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26646586.0
MIRT021307,hsa-miR-125a-5p,hsa,EIF4EBP1,1978.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26646586.0
MIRT000347,hsa-miR-125b-5p,hsa,EIF4EBP1,1978.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26646586.0
MIRT000347,hsa-miR-125b-5p,hsa,EIF4EBP1,1978.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26646586.0
MIRT727650,hsa-miR-19a-3p,hsa,FOXP1,27086.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26367773.0
MIRT726244,hsa-miR-19a-3p,hsa,TP53INP1,94241.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26367773.0
MIRT726266,hsa-miR-19a-3p,hsa,TNFAIP3,7128.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26367773.0
MIRT142988,hsa-miR-19a-3p,hsa,TNFRSF12A,51330.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26367773.0
MIRT069422,hsa-miR-19a-3p,hsa,SIVA1,10572.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26367773.0
MIRT731711,hsa-miR-222-3p,hsa,GAS5,60674.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26370254.0
MIRT731711,hsa-miR-222-3p,hsa,GAS5,60674.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26370254.0
MIRT438829,hsa-miR-582-5p,hsa,RAB27A,5873.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26384136.0
MIRT054915,hsa-miR-198,hsa,FSTL1,11167.0,hsa,Luciferase reporter assay//Next Generation Sequencing (NGS)//Northern blot//qRT-PCR//Western blot,Functional MTI,26386648.0
MIRT054915,hsa-miR-198,hsa,FSTL1,11167.0,hsa,Luciferase reporter assay//Next Generation Sequencing (NGS)//Northern blot//qRT-PCR//Western blot,Functional MTI,26386648.0
MIRT061603,hsa-miR-32-5p,hsa,BTG2,7832.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26394836.0
