id_cp_interaction,partner_a_Ligand,partner_b_Receptor,,protein_name_a_Ligand,protein_name_b_Receptor,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interaction_name-,classification,directionality,modulatory_effect
,P39060,integrin_a10b1_complex,COIA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a11b1_complex,COIA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a2b1_complex,COIA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a1b1_complex,COJA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a10b1_complex,COJA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a11b1_complex,COJA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q14993,integrin_a2b1_complex,COJA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL19A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a1b1_complex,CO1A1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a10b1_complex,CO1A1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02452,integrin_a11b1_complex,CO1A1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
