,source,target,weight,padj
302,Androgen,Pgm3,2.4241280143,1.11737523604e-06
303,Androgen,Acad8,3.0277185672,1.16683194345e-06
304,Androgen,Nkx3-2,1.76403636014,1.22011523527e-06
305,Androgen,Sash1,3.66820299125,1.22223905775e-06
306,Androgen,Ift57,1.94700381559,1.22888549239e-06
307,Androgen,Pknox2,-1.32581044489,1.29186597884e-06
308,Androgen,Abca12,-3.34489595237,1.29560989453e-06
309,Androgen,Kctd3,2.75470943233,1.3133250189e-06
310,Androgen,Manba,-3.14232844368,1.31393763599e-06
311,Androgen,Ptrh2,2.58174571209,1.4021581544e-06
312,Androgen,Ppfibp1,1.7948038176,1.48919600775e-06
313,Androgen,Slco2a1,5.01610967418,1.5132980557e-06
314,Androgen,Myt1,-0.852577333297,1.53225744851e-06
315,Androgen,Cyp11a1,1.36259409182,1.65881890617e-06
316,Androgen,Col5a2,-3.26048054969,1.69698024906e-06
317,Androgen,Slc5a1,-1.11726984812,1.71786225064e-06
318,Androgen,Sh3d21,1.6012014506,1.83618336312e-06
319,Androgen,Sh3bgrl,2.98099523532,1.91345016638e-06
320,Androgen,Patz1,-1.32234957103,1.93031429513e-06
321,Androgen,Cmc2,3.9173087043,1.95103262739e-06
322,Androgen,Nfkbia,5.74180310867,2.04146327523e-06
323,Androgen,Glrx2,3.39230202975,2.05691072483e-06
324,Androgen,Rln1,1.56340172333,2.17440532623e-06
325,Androgen,Tmem39a,1.56477586261,2.20506679132e-06
326,Androgen,Mctp1,-2.83604569655,2.29785808376e-06
327,Androgen,Vcl,2.29361215586,2.34227078966e-06
328,Androgen,Rnf2,1.26647233426,2.40102937008e-06
329,Androgen,Elovl2,3.25766334433,2.40793186666e-06
330,Androgen,Macir,-3.24537763906,2.40826241169e-06
331,Androgen,Garnl3,-0.888274764513,2.41626611465e-06
332,Androgen,Atxn2,1.70148300199,2.4245563698e-06
333,Androgen,Ube2e1,1.67457030253,2.48587586369e-06
334,Androgen,Aldh1a3,4.43114339872,2.51005603687e-06
335,Androgen,Ube2d1,1.90503417699,2.55701047198e-06
336,Androgen,Cntnap2,1.26361818559,2.65902745631e-06
337,Androgen,Rnf34,-1.67868098742,2.70342663705e-06
338,Androgen,Hspa1l,-1.2612516092,2.92311622459e-06
339,Androgen,Spata2,1.51318119474,3.08557693132e-06
340,Androgen,Osr2,-4.56827905681,3.08885853913e-06
341,Androgen,Fads2,2.06872181242,3.10295153211e-06
342,Androgen,Nfib,2.30094541452,3.15706478437e-06
343,Androgen,Htatsf1,-1.79349420624,3.24271439934e-06
344,Androgen,Abca1,-2.17659776811,3.25400857056e-06
345,Androgen,Lat2,1.31397922648,3.45844544261e-06
346,Androgen,Golga5,2.0963539887,3.46531477059e-06
347,Androgen,Crisp2,2.19948128157,3.57346599706e-06
348,Androgen,Crisp3,2.19948128157,3.57346599706e-06
349,Androgen,Crisp1,2.19948128157,3.57346599706e-06
350,Androgen,Mtrex,-1.6185574943,3.88267521624e-06
351,Androgen,Adra2a,2.14815091726,3.89704189501e-06
352,Androgen,Fryl,1.94557704994,3.9868086128e-06
353,Androgen,Edem3,3.21369067855,4.22764956319e-06
354,Androgen,Pou2f3,-1.20463967146,4.32470599389e-06
355,Androgen,St3gal1,-3.07196513259,4.41871309503e-06
356,Androgen,Radx,-1.29513404577,4.47503776528e-06
357,Androgen,Rap1b,-2.16653196987,4.48918526373e-06
358,Androgen,Ssr3,2.73784886452,4.5704407825e-06
359,Androgen,Lamc1,2.47045097424,4.93162812728e-06
360,Androgen,Gbf1,1.53913611544,5.05400727773e-06
361,Androgen,Styk1,2.16289852081,5.06584536466e-06
362,Androgen,Dmrt1,-1.21509818562,5.19886759279e-06
363,Androgen,Arhgap1,1.11078879561,5.24398919517e-06
364,Androgen,Slc25a37,2.27953485629,5.40109158433e-06
365,Androgen,Coq7,-1.35242134205,5.48664286304e-06
366,Androgen,Uso1,1.91862489583,5.54010479409e-06
367,Androgen,Osbp,1.17202345622,5.80031113877e-06
368,Androgen,Dsc1,1.81917593502,6.09389349433e-06
369,Androgen,Prpf6,-1.63688792209,6.25101281901e-06
370,Androgen,Extl2,2.63858591092,6.41014668361e-06
371,Androgen,Kif5b,-2.02800457177,6.53658440967e-06
372,Androgen,Fkbp11,2.00970146561,6.75476512005e-06
373,Androgen,Spcs3,2.37425422654,6.78633547542e-06
374,Androgen,Arxes2,2.37425422654,6.78633547542e-06
375,Androgen,Arxes1,2.37425422654,6.78633547542e-06
376,Androgen,Pik3r3,-2.79861738753,6.80213533353e-06
377,Androgen,Afg3l2,-1.29493902484,7.48234651567e-06
378,Androgen,Pik3c2a,1.77358859402,7.63683556391e-06
379,Androgen,Mecom,-1.07760781435,7.6443629964e-06
380,Androgen,Nans,1.74826042938,7.68514816282e-06
381,Androgen,Gle1,-1.05504455942,7.72146154788e-06
382,Androgen,Dym,1.39763637975,8.05927144934e-06
383,Androgen,Osgep,-1.28470297932,8.1518309389e-06
384,Androgen,Sart3,-1.37017391415,8.16403285327e-06
385,Androgen,Zfp532,2.26921353171,8.54424863374e-06
386,Androgen,Rnf14,1.84071340457,9.06184073106e-06
387,Androgen,Wdr41,1.29572675635,9.28546877752e-06
388,Androgen,Anp32e,-2.97005547531,9.34604949211e-06
389,Androgen,Abi3bp,2.82200625333,9.35503581037e-06
390,Androgen,Dnaaf11,-1.34379469162,9.35864197312e-06
391,Androgen,Klhl36,1.35341328677,9.40487581819e-06
