celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,HSD17B11
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,IGBP1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,IMPDH2
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,LETMD1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,LTA4H
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,LYRM4
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,MRPL10
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,MRPL45
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,MYC
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,NBEAL1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,NME1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,NOA1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,NOB1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,OXA1L
