celltype,metaprogram_description,gene
MACROPHAGES,Lipid-associated,APOE
MACROPHAGES,Monocyte/Secreted,IL1B
MACROPHAGES,Cell-cycle,STMN1
MACROPHAGES,Interferon,CXCL10
MACROPHAGES,MES/Glycolysis,SPP1
MACROPHAGES,MAC1,FCN1
MACROPHAGES,Stress/HSP,JUN
MACROPHAGES,MAC2,FABP4
MACROPHAGES,Proteasomal-degradation,NME1
MACROPHAGES,MAC3,C3
MACROPHAGES,MYC/Mitochondria,NME1
MACROPHAGES,Unfolded-protein-response,HSPA5
MACROPHAGES,Respiration,ISG15
MACROPHAGES,Lipid-associated,C1QB
MACROPHAGES,Monocyte/Secreted,CXCL2
MACROPHAGES,Cell-cycle,CKS1B
MACROPHAGES,Interferon,ISG15
MACROPHAGES,MES/Glycolysis,GPNMB
MACROPHAGES,MAC1,CD52
MACROPHAGES,Stress/HSP,DNAJB1
MACROPHAGES,MAC2,MARCO
MACROPHAGES,Proteasomal-degradation,FABP5
MACROPHAGES,MAC3,OLFML3
MACROPHAGES,MYC/Mitochondria,NHP2
MACROPHAGES,Unfolded-protein-response,MANF
MACROPHAGES,Respiration,CCL2
MACROPHAGES,Lipid-associated,LGMN
MACROPHAGES,Monocyte/Secreted,G0S2
MACROPHAGES,Cell-cycle,HMGB2
MACROPHAGES,Interferon,GBP1
MACROPHAGES,MES/Glycolysis,S100A10
MACROPHAGES,MAC1,FCGR3A
MACROPHAGES,Stress/HSP,HSPA1B
MACROPHAGES,MAC2,RBP4
MACROPHAGES,Proteasomal-degradation,HSPA5
MACROPHAGES,MAC3,C1QC
MACROPHAGES,MYC/Mitochondria,C1QBP
MACROPHAGES,Unfolded-protein-response,HSP90B1
MACROPHAGES,Respiration,COX7B
MACROPHAGES,Lipid-associated,APOC1
MACROPHAGES,Monocyte/Secreted,CXCL8
MACROPHAGES,Cell-cycle,TUBB
MACROPHAGES,Interferon,IFIT3
MACROPHAGES,MES/Glycolysis,FABP5
MACROPHAGES,MAC1,IFITM2
MACROPHAGES,Stress/HSP,HSPA1A
MACROPHAGES,MAC2,PCOLCE2
MACROPHAGES,Proteasomal-degradation,CCT5
MACROPHAGES,MAC3,C1QB
MACROPHAGES,MYC/Mitochondria,PHB
MACROPHAGES,Unfolded-protein-response,SDF2L1
MACROPHAGES,Respiration,NDUFB2
MACROPHAGES,Lipid-associated,C1QC
MACROPHAGES,Monocyte/Secreted,CXCL3
MACROPHAGES,Cell-cycle,TK1
MACROPHAGES,Interferon,MX1
MACROPHAGES,MES/Glycolysis,CSTB
MACROPHAGES,MAC1,CFP
MACROPHAGES,Stress/HSP,FOS
MACROPHAGES,MAC2,INHBA
MACROPHAGES,Proteasomal-degradation,MANF
MACROPHAGES,MAC3,PLD4
MACROPHAGES,MYC/Mitochondria,SDF2L1
MACROPHAGES,Unfolded-protein-response,OSTC
MACROPHAGES,Respiration,POLR2L
MACROPHAGES,Lipid-associated,C1QA
MACROPHAGES,Monocyte/Secreted,S100A8
MACROPHAGES,Cell-cycle,PTTG1
MACROPHAGES,Interferon,TNFSF10
MACROPHAGES,MES/Glycolysis,LGALS1
MACROPHAGES,MAC1,LILRB2
MACROPHAGES,Stress/HSP,GADD45B
MACROPHAGES,MAC2,CES1
MACROPHAGES,Proteasomal-degradation,SDF2L1
MACROPHAGES,MAC3,FCGBP
MACROPHAGES,MYC/Mitochondria,DCTPP1
MACROPHAGES,Unfolded-protein-response,PDIA4
MACROPHAGES,Respiration,S100A8
MACROPHAGES,Lipid-associated,GPNMB
MACROPHAGES,Monocyte/Secreted,BCL2A1
MACROPHAGES,Cell-cycle,PCNA
MACROPHAGES,Interferon,IFIT2
MACROPHAGES,MES/Glycolysis,S100A6
MACROPHAGES,MAC1,LINC01272
MACROPHAGES,Stress/HSP,HSPH1
MACROPHAGES,MAC2,CCL18
MACROPHAGES,Proteasomal-degradation,PRDX1
MACROPHAGES,MAC3,GPR34
MACROPHAGES,MYC/Mitochondria,SRM
MACROPHAGES,Unfolded-protein-response,PDIA6
MACROPHAGES,Respiration,ATOX1
MACROPHAGES,Lipid-associated,RNASE1
MACROPHAGES,Monocyte/Secreted,FCN1
MACROPHAGES,Cell-cycle,H2AFZ
MACROPHAGES,Interferon,ISG20
MACROPHAGES,MES/Glycolysis,C15ORF48
MACROPHAGES,MAC1,LILRA5
MACROPHAGES,Stress/HSP,HSPA6
MACROPHAGES,MAC2,CD52
MACROPHAGES,Proteasomal-degradation,PSMA4
MACROPHAGES,MAC3,LPAR6
MACROPHAGES,MYC/Mitochondria,CCT2
MACROPHAGES,Unfolded-protein-response,SPCS2
MACROPHAGES,Respiration,ATP5J2
MACROPHAGES,Lipid-associated,PLD3
MACROPHAGES,Monocyte/Secreted,VCAN
MACROPHAGES,Cell-cycle,HMGN2
MACROPHAGES,Interferon,EPSTI1
MACROPHAGES,MES/Glycolysis,FN1
MACROPHAGES,MAC1,S100A4
MACROPHAGES,Stress/HSP,RGS2
MACROPHAGES,MAC2,FN1
MACROPHAGES,Proteasomal-degradation,SPP1
MACROPHAGES,MAC3,CCL3
MACROPHAGES,MYC/Mitochondria,CORO1A
MACROPHAGES,Unfolded-protein-response,CRELD2
MACROPHAGES,Respiration,BLVRB
MACROPHAGES,Lipid-associated,LIPA
MACROPHAGES,Monocyte/Secreted,IER3
MACROPHAGES,Cell-cycle,TUBA1B
MACROPHAGES,Interferon,GBP5
MACROPHAGES,MES/Glycolysis,ANXA2
MACROPHAGES,MAC1,S100A9
MACROPHAGES,Stress/HSP,HSPB1
MACROPHAGES,MAC2,GCHFR
MACROPHAGES,Proteasomal-degradation,ATP6V0D1
MACROPHAGES,MAC3,CCL4
MACROPHAGES,MYC/Mitochondria,FABP5
MACROPHAGES,Unfolded-protein-response,DNAJB9
MACROPHAGES,Respiration,CHCHD10
MACROPHAGES,Lipid-associated,PLTP
MACROPHAGES,Monocyte/Secreted,CCL3
MACROPHAGES,Cell-cycle,TYMS
MACROPHAGES,Interferon,IFI35
MACROPHAGES,MES/Glycolysis,PLIN2
MACROPHAGES,MAC1,SERPINA1
MACROPHAGES,Stress/HSP,IER2
MACROPHAGES,MAC2,LPL
MACROPHAGES,Proteasomal-degradation,FBP1
MACROPHAGES,MAC3,C1QA
MACROPHAGES,MYC/Mitochondria,MRPL12
MACROPHAGES,Unfolded-protein-response,TMED2
MACROPHAGES,Respiration,FABP5
MACROPHAGES,Lipid-associated,FOLR2
MACROPHAGES,Monocyte/Secreted,EREG
MACROPHAGES,Cell-cycle,DUT
MACROPHAGES,Interferon,IFIT1
MACROPHAGES,MES/Glycolysis,FBP1
MACROPHAGES,MAC1,TIMP1
MACROPHAGES,Stress/HSP,RHOB
MACROPHAGES,MAC2,MCEMP1
MACROPHAGES,Proteasomal-degradation,MDH1
MACROPHAGES,MAC3,LTC4S
MACROPHAGES,MYC/Mitochondria,PA2G4
MACROPHAGES,Unfolded-protein-response,TRAM1
MACROPHAGES,Respiration,MRPL41
MACROPHAGES,Lipid-associated,NUPR1
MACROPHAGES,Monocyte/Secreted,TIMP1
MACROPHAGES,Cell-cycle,SMC4
MACROPHAGES,Interferon,IFI44L
MACROPHAGES,MES/Glycolysis,S100A9
MACROPHAGES,MAC1,WARS
MACROPHAGES,Stress/HSP,ATF3
MACROPHAGES,MAC2,PHLDA3
MACROPHAGES,Proteasomal-degradation,VSIG4
MACROPHAGES,MAC3,RGS1
MACROPHAGES,MYC/Mitochondria,SPP1
MACROPHAGES,Unfolded-protein-response,VIMP
MACROPHAGES,Respiration,NDUFA3
MACROPHAGES,Lipid-associated,CTSD
MACROPHAGES,Monocyte/Secreted,CCL20
MACROPHAGES,Cell-cycle,HIST1H4C
MACROPHAGES,Interferon,STAT1
MACROPHAGES,MES/Glycolysis,S100A8
MACROPHAGES,MAC1,IFITM3
MACROPHAGES,Stress/HSP,BAG3
MACROPHAGES,MAC2,PPARG
MACROPHAGES,Proteasomal-degradation,CALR
MACROPHAGES,MAC3,ALOX5AP
MACROPHAGES,MYC/Mitochondria,APEX1
MACROPHAGES,Unfolded-protein-response,HM13
MACROPHAGES,Respiration,NDUFS6
MACROPHAGES,Lipid-associated,SLC40A1
MACROPHAGES,Monocyte/Secreted,S100A9
MACROPHAGES,Cell-cycle,CDK1
MACROPHAGES,Interferon,CXCL11
MACROPHAGES,MES/Glycolysis,NUPR1
MACROPHAGES,MAC1,S100A8
MACROPHAGES,Stress/HSP,EGR1
MACROPHAGES,MAC2,IFI27
MACROPHAGES,Proteasomal-degradation,MYDGF
MACROPHAGES,MAC3,AXL
MACROPHAGES,MYC/Mitochondria,RANBP1
MACROPHAGES,Unfolded-protein-response,LMAN1
MACROPHAGES,Respiration,PSME2
MACROPHAGES,Lipid-associated,ACP5
MACROPHAGES,Monocyte/Secreted,TNFAIP3
MACROPHAGES,Cell-cycle,CKS2
MACROPHAGES,Interferon,GBP4
MACROPHAGES,MES/Glycolysis,HK2
MACROPHAGES,MAC1,CORO1A
MACROPHAGES,Stress/HSP,HSPD1
MACROPHAGES,MAC2,NUPR1
MACROPHAGES,Proteasomal-degradation,PDIA6
MACROPHAGES,MAC3,CCL4L2
MACROPHAGES,MYC/Mitochondria,ATP5MC1
MACROPHAGES,Unfolded-protein-response,NDRG1
MACROPHAGES,Respiration,RBX1
MACROPHAGES,Lipid-associated,A2M
MACROPHAGES,Monocyte/Secreted,AREG
MACROPHAGES,Cell-cycle,NUSAP1
MACROPHAGES,Interferon,IL4I1
MACROPHAGES,MES/Glycolysis,LGALS3
MACROPHAGES,MAC1,PLAC8
MACROPHAGES,Stress/HSP,HSP90AA1
MACROPHAGES,MAC2,S100A13
MACROPHAGES,Proteasomal-degradation,PSMD8
MACROPHAGES,MAC3,GIMAP4
MACROPHAGES,MYC/Mitochondria,CCT5
MACROPHAGES,Unfolded-protein-response,NUCB2
MACROPHAGES,Respiration,TIMM8B
MACROPHAGES,Lipid-associated,MS4A4A
MACROPHAGES,Monocyte/Secreted,CCL4
MACROPHAGES,Cell-cycle,UBE2C
MACROPHAGES,Interferon,RSAD2
MACROPHAGES,MES/Glycolysis,MIF
MACROPHAGES,MAC1,STXBP2
MACROPHAGES,Stress/HSP,DNAJA4
MACROPHAGES,MAC2,SERPING1
MACROPHAGES,Proteasomal-degradation,SLC3A2
MACROPHAGES,MAC3,CCL3L3
MACROPHAGES,MYC/Mitochondria,CCT6A
MACROPHAGES,Unfolded-protein-response,PDIA3
MACROPHAGES,Respiration,UQCRQ
MACROPHAGES,Lipid-associated,TREM2
MACROPHAGES,Monocyte/Secreted,SLC2A3
MACROPHAGES,Cell-cycle,BIRC5
MACROPHAGES,Interferon,IFI6
MACROPHAGES,MES/Glycolysis,MT1X
MACROPHAGES,MAC1,CFD
MACROPHAGES,Stress/HSP,FOSB
MACROPHAGES,MAC2,ALDH2
MACROPHAGES,Proteasomal-degradation,TREM2
MACROPHAGES,MAC3,FCGR3A
MACROPHAGES,MYC/Mitochondria,EBNA1BP2
MACROPHAGES,Unfolded-protein-response,SEC11C
MACROPHAGES,Respiration,VAMP5
MACROPHAGES,Lipid-associated,DAB2
MACROPHAGES,Monocyte/Secreted,SOD2
MACROPHAGES,Cell-cycle,DTYMK
MACROPHAGES,Interferon,IFITM1
MACROPHAGES,MES/Glycolysis,MT2A
MACROPHAGES,MAC1,LST1
MACROPHAGES,Stress/HSP,NR4A1
MACROPHAGES,MAC2,GYPC
MACROPHAGES,Proteasomal-degradation,LGALS3
MACROPHAGES,MAC3,TREM2
MACROPHAGES,MYC/Mitochondria,EIF5A
MACROPHAGES,Unfolded-protein-response,SELM
MACROPHAGES,Respiration,RNASE1
MACROPHAGES,Lipid-associated,SLCO2B1
MACROPHAGES,Monocyte/Secreted,IL1RN
MACROPHAGES,Cell-cycle,KIAA0101
MACROPHAGES,Interferon,SAMD9L
MACROPHAGES,MES/Glycolysis,RGCC
MACROPHAGES,MAC1,CYTIP
MACROPHAGES,Stress/HSP,JUNB
MACROPHAGES,MAC2,LGALS3BP
MACROPHAGES,Proteasomal-degradation,LRPAP1
MACROPHAGES,MAC3,YWHAH
MACROPHAGES,MYC/Mitochondria,MRPL3
MACROPHAGES,Unfolded-protein-response,SNHG12
MACROPHAGES,Respiration,HCST
MACROPHAGES,Lipid-associated,CTSL
MACROPHAGES,Monocyte/Secreted,PLAUR
MACROPHAGES,Cell-cycle,ZWINT
MACROPHAGES,Interferon,UBE2L6
MACROPHAGES,MES/Glycolysis,S100A4
MACROPHAGES,MAC1,RHOC
MACROPHAGES,Stress/HSP,DNAJA1
MACROPHAGES,MAC2,SCD
MACROPHAGES,Proteasomal-degradation,MARCO
MACROPHAGES,MAC3,HTRA1
MACROPHAGES,MYC/Mitochondria,NOP16
MACROPHAGES,Unfolded-protein-response,TMEM45A
MACROPHAGES,Respiration,MYEOV2
MACROPHAGES,Lipid-associated,CCL18
MACROPHAGES,Monocyte/Secreted,NFKBIA
MACROPHAGES,Cell-cycle,DEK
MACROPHAGES,Interferon,CXCL9
MACROPHAGES,MES/Glycolysis,ADM
MACROPHAGES,MAC1,FGR
MACROPHAGES,Stress/HSP,KLF6
MACROPHAGES,MAC2,ACOT7
MACROPHAGES,Proteasomal-degradation,PSMA3
MACROPHAGES,MAC3,USP53
MACROPHAGES,MYC/Mitochondria,PPA1
MACROPHAGES,Unfolded-protein-response,ADM
MACROPHAGES,Respiration,CALM3
MACROPHAGES,Lipid-associated,SEPP1
MACROPHAGES,Monocyte/Secreted,DUSP2
MACROPHAGES,Cell-cycle,RANBP1
MACROPHAGES,Interferon,IFITM3
MACROPHAGES,MES/Glycolysis,BNIP3
MACROPHAGES,MAC1,TCF7L2
MACROPHAGES,Stress/HSP,SGK1
MACROPHAGES,MAC2,CYP27A1
MACROPHAGES,Proteasomal-degradation,PSMD7
MACROPHAGES,MAC3,CX3CR1
MACROPHAGES,MYC/Mitochondria,TIMM13
MACROPHAGES,Unfolded-protein-response,ARF4
MACROPHAGES,Respiration,S100A9
MACROPHAGES,Lipid-associated,CFD
MACROPHAGES,Monocyte/Secreted,GPR183
MACROPHAGES,Cell-cycle,HMGB1
MACROPHAGES,Interferon,OAS1
MACROPHAGES,MES/Glycolysis,VCAN
MACROPHAGES,MAC1,CLEC12A
MACROPHAGES,Stress/HSP,DUSP1
MACROPHAGES,MAC2,LTA4H
MACROPHAGES,Proteasomal-degradation,PSME2
MACROPHAGES,MAC3,CXCR4
MACROPHAGES,MYC/Mitochondria,TOMM40
MACROPHAGES,Unfolded-protein-response,CALR
MACROPHAGES,Respiration,C4ORF48
MACROPHAGES,Lipid-associated,FUCA1
MACROPHAGES,Monocyte/Secreted,THBS1
MACROPHAGES,Cell-cycle,SMC2
MACROPHAGES,Interferon,TAP1
MACROPHAGES,MES/Glycolysis,VIM
MACROPHAGES,MAC1,COTL1
MACROPHAGES,Stress/HSP,IER5
MACROPHAGES,MAC2,NMB
MACROPHAGES,Proteasomal-degradation,S100A8
MACROPHAGES,MAC3,BTG2
MACROPHAGES,MYC/Mitochondria,ALOX5AP
MACROPHAGES,Unfolded-protein-response,DNAJB11
MACROPHAGES,Respiration,DNPH1
MACROPHAGES,Lipid-associated,SPP1
MACROPHAGES,Monocyte/Secreted,CCL3L3
MACROPHAGES,Cell-cycle,TMEM106C
MACROPHAGES,Interferon,VAMP5
MACROPHAGES,MES/Glycolysis,MT1G
MACROPHAGES,MAC1,NAAA
MACROPHAGES,Stress/HSP,MAFB
MACROPHAGES,MAC2,PDLIM1
MACROPHAGES,Proteasomal-degradation,CTSL
MACROPHAGES,MAC3,CD14
MACROPHAGES,MYC/Mitochondria,BOLA3
MACROPHAGES,Unfolded-protein-response,ISG15
MACROPHAGES,Respiration,TXN
MACROPHAGES,Lipid-associated,TMEM176B
MACROPHAGES,Monocyte/Secreted,OLR1
MACROPHAGES,Cell-cycle,CENPW
MACROPHAGES,Interferon,APOBEC3A
MACROPHAGES,MES/Glycolysis,APOC1
MACROPHAGES,MAC1,POU2F2
MACROPHAGES,Stress/HSP,RGS1
MACROPHAGES,MAC2,AQP3
MACROPHAGES,Proteasomal-degradation,CYP27A1
MACROPHAGES,MAC3,CD69
MACROPHAGES,MYC/Mitochondria,HSPA5
MACROPHAGES,Unfolded-protein-response,LY6E
MACROPHAGES,Respiration,CXCL9
MACROPHAGES,Lipid-associated,PLA2G7
MACROPHAGES,Monocyte/Secreted,NAMPT
MACROPHAGES,Cell-cycle,RPA3
MACROPHAGES,Interferon,LAP3
MACROPHAGES,MES/Glycolysis,MARCO
MACROPHAGES,MAC1,ABI3
MACROPHAGES,Stress/HSP,ZFP36L2
MACROPHAGES,MAC2,FBP1
MACROPHAGES,Proteasomal-degradation,GCHFR
MACROPHAGES,MAC3,CD9
MACROPHAGES,MYC/Mitochondria,HSPD1
MACROPHAGES,Unfolded-protein-response,PPIB
MACROPHAGES,Respiration,STAB1
MACROPHAGES,Lipid-associated,CD163
MACROPHAGES,Monocyte/Secreted,CCL4L2
MACROPHAGES,Cell-cycle,IDH2
MACROPHAGES,Interferon,WARS
MACROPHAGES,MES/Glycolysis,EMP3
MACROPHAGES,MAC1,BCL2A1
MACROPHAGES,Stress/HSP,KLF2
MACROPHAGES,MAC2,MGST1
MACROPHAGES,Proteasomal-degradation,MNDA
MACROPHAGES,MAC3,CSF1R
MACROPHAGES,MYC/Mitochondria,LDHB
MACROPHAGES,Unfolded-protein-response,SLC3A2
MACROPHAGES,Respiration,HAMP
MACROPHAGES,Lipid-associated,FCGR3A
MACROPHAGES,Monocyte/Secreted,C15ORF48
MACROPHAGES,Cell-cycle,KPNA2
MACROPHAGES,Interferon,IRF7
MACROPHAGES,MES/Glycolysis,TIMP1
MACROPHAGES,MAC1,CD48
MACROPHAGES,Stress/HSP,HSP90AB1
MACROPHAGES,MAC2,PPIC
MACROPHAGES,Proteasomal-degradation,PSMB6
MACROPHAGES,MAC3,HERPUD1
MACROPHAGES,MYC/Mitochondria,MRPS12
MACROPHAGES,Unfolded-protein-response,SMIM14
MACROPHAGES,Respiration,NDUFB7
MACROPHAGES,Lipid-associated,CD59
MACROPHAGES,Monocyte/Secreted,NLRP3
MACROPHAGES,Cell-cycle,MKI67
MACROPHAGES,Interferon,PARP14
MACROPHAGES,MES/Glycolysis,CD9
MACROPHAGES,MAC1,CDKN1C
MACROPHAGES,Stress/HSP,HSPE1
MACROPHAGES,MAC2,RETN
MACROPHAGES,Proteasomal-degradation,TUBA1B
MACROPHAGES,MAC3,HLA-DQA1
MACROPHAGES,MYC/Mitochondria,MRPS34
MACROPHAGES,Unfolded-protein-response,TMEM258
MACROPHAGES,Respiration,TXNDC17
MACROPHAGES,Lipid-associated,C2
MACROPHAGES,Monocyte/Secreted,PTGS2
MACROPHAGES,Cell-cycle,TOP2A
MACROPHAGES,Interferon,MX2
MACROPHAGES,MES/Glycolysis,NDRG1
MACROPHAGES,MAC1,LILRA1
MACROPHAGES,Stress/HSP,KLF4
MACROPHAGES,MAC2,RP5-839B4.8
MACROPHAGES,Proteasomal-degradation,DNASE2
MACROPHAGES,MAC3,IL1B
MACROPHAGES,MYC/Mitochondria,RRP7A
MACROPHAGES,Unfolded-protein-response,TXN
MACROPHAGES,Respiration,DAB2
MACROPHAGES,Lipid-associated,CYP27A1
MACROPHAGES,Monocyte/Secreted,TREM1
MACROPHAGES,Cell-cycle,GGH
MACROPHAGES,Interferon,PPA1
MACROPHAGES,MES/Glycolysis,ENO1
MACROPHAGES,MAC1,LRRC25
MACROPHAGES,Stress/HSP,TSC22D3
MACROPHAGES,MAC2,VMO1
MACROPHAGES,Proteasomal-degradation,FCGR1A
MACROPHAGES,MAC3,MEF2C
MACROPHAGES,MYC/Mitochondria,C20ORF27
MACROPHAGES,Unfolded-protein-response,WARS
MACROPHAGES,Respiration,BRI3
MACROPHAGES,Lipid-associated,GM2A
MACROPHAGES,Monocyte/Secreted,CD83
MACROPHAGES,Cell-cycle,HMGB3
MACROPHAGES,Interferon,IDO1
MACROPHAGES,MES/Glycolysis,LDHA
MACROPHAGES,MAC1,LYST
MACROPHAGES,Stress/HSP,ZFAND2A
MACROPHAGES,MAC2,ALOX5AP
MACROPHAGES,Proteasomal-degradation,HM13
MACROPHAGES,MAC3,SLCO2B1
MACROPHAGES,MYC/Mitochondria,CCT3
MACROPHAGES,Unfolded-protein-response,HYOU1
MACROPHAGES,Respiration,CTSZ
MACROPHAGES,Lipid-associated,IFI27
MACROPHAGES,Monocyte/Secreted,HBEGF
MACROPHAGES,Cell-cycle,CENPF
MACROPHAGES,Interferon,LY6E
MACROPHAGES,MES/Glycolysis,RNASE1
MACROPHAGES,MAC1,MYO1G
MACROPHAGES,Stress/HSP,CCL3
MACROPHAGES,MAC2,GPD1
MACROPHAGES,Proteasomal-degradation,LTA4H
MACROPHAGES,MAC3,ABI3
MACROPHAGES,MYC/Mitochondria,CLEC5A
MACROPHAGES,Unfolded-protein-response,SDC2
MACROPHAGES,Respiration,RPS21
MACROPHAGES,Lipid-associated,MSR1
MACROPHAGES,Monocyte/Secreted,NFKBIZ
MACROPHAGES,Cell-cycle,MCM7
MACROPHAGES,Interferon,MT2A
MACROPHAGES,MES/Glycolysis,LSP1
MACROPHAGES,MAC1,RAC2
MACROPHAGES,Stress/HSP,HSPA8
MACROPHAGES,MAC2,SERPINA1
MACROPHAGES,Proteasomal-degradation,MGST3
MACROPHAGES,MAC3,ADAM28
MACROPHAGES,MYC/Mitochondria,CYC1
MACROPHAGES,Unfolded-protein-response,CDK2AP2
MACROPHAGES,Respiration,RPS29
MACROPHAGES,Lipid-associated,CD14
MACROPHAGES,Monocyte/Secreted,NR4A2
MACROPHAGES,Cell-cycle,PCLAF
MACROPHAGES,Interferon,ANKRD22
MACROPHAGES,MES/Glycolysis,UPP1
MACROPHAGES,MAC1,SPN
MACROPHAGES,Stress/HSP,CCL4
MACROPHAGES,MAC2,TCF7L2
MACROPHAGES,Proteasomal-degradation,PSMA5
MACROPHAGES,MAC3,C10ORF54
MACROPHAGES,MYC/Mitochondria,GGCT
MACROPHAGES,Unfolded-protein-response,GBP2
MACROPHAGES,Respiration,SLIRP
MACROPHAGES,Lipid-associated,GPR34
MACROPHAGES,Monocyte/Secreted,CD55
MACROPHAGES,Cell-cycle,NUCKS1
MACROPHAGES,Interferon,IFI27
MACROPHAGES,MES/Glycolysis,SDC2
MACROPHAGES,MAC1,CD55
MACROPHAGES,Stress/HSP,CLK1
MACROPHAGES,MAC2,FAM89A
MACROPHAGES,Proteasomal-degradation,PSMC2
MACROPHAGES,MAC3,CD93
MACROPHAGES,MYC/Mitochondria,KCNN4
MACROPHAGES,Unfolded-protein-response,AARS
MACROPHAGES,Respiration,RPL38
MACROPHAGES,Lipid-associated,NPL
MACROPHAGES,Monocyte/Secreted,LYZ
MACROPHAGES,Cell-cycle,CDKN3
MACROPHAGES,Interferon,CCL2
MACROPHAGES,MES/Glycolysis,SLC2A3
MACROPHAGES,MAC1,CRIP1
MACROPHAGES,Stress/HSP,DDIT4
MACROPHAGES,MAC2,FHL1
MACROPHAGES,Proteasomal-degradation,PSMC3
MACROPHAGES,MAC3,EPB41L2
MACROPHAGES,MYC/Mitochondria,MANF
MACROPHAGES,Unfolded-protein-response,TAP1
MACROPHAGES,Respiration,UQCC2
MACROPHAGES,Lipid-associated,CTSC
MACROPHAGES,Monocyte/Secreted,SLC11A1
MACROPHAGES,Cell-cycle,CARHSP1
MACROPHAGES,Interferon,NT5C3A
MACROPHAGES,MES/Glycolysis,CD52
MACROPHAGES,MAC1,APOBEC3A
MACROPHAGES,Stress/HSP,NR4A2
MACROPHAGES,MAC2,IGFBP2
MACROPHAGES,Proteasomal-degradation,RENBP
MACROPHAGES,MAC3,ETV5
MACROPHAGES,MYC/Mitochondria,MRPL4
MACROPHAGES,Unfolded-protein-response,EGLN3
MACROPHAGES,Respiration,MRPL51
MACROPHAGES,Lipid-associated,CREG1
MACROPHAGES,Monocyte/Secreted,ATF3
MACROPHAGES,Cell-cycle,TMPO
MACROPHAGES,Interferon,PSME2
MACROPHAGES,MES/Glycolysis,CTSL
MACROPHAGES,MAC1,HES1
MACROPHAGES,Stress/HSP,PPP1R15A
MACROPHAGES,MAC2,PLA2G16
MACROPHAGES,Proteasomal-degradation,PLA2G7
MACROPHAGES,MAC3,IFI44L
MACROPHAGES,MYC/Mitochondria,MRPL52
MACROPHAGES,Unfolded-protein-response,SLC33A1
MACROPHAGES,Respiration,ATP5EP2
MACROPHAGES,Lipid-associated,VSIG4
MACROPHAGES,Monocyte/Secreted,FOSB
MACROPHAGES,Cell-cycle,SKA2
MACROPHAGES,Interferon,CCL8
MACROPHAGES,MES/Glycolysis,SCD
MACROPHAGES,MAC1,LTA4H
MACROPHAGES,Stress/HSP,UBC
MACROPHAGES,MAC2,RND3
MACROPHAGES,Proteasomal-degradation,CCL2
MACROPHAGES,MAC3,IFNGR1
MACROPHAGES,MYC/Mitochondria,PPP1R14B
MACROPHAGES,Unfolded-protein-response,DNAJC1
MACROPHAGES,Respiration,DUSP23
MACROPHAGES,Lipid-associated,LGALS3
MACROPHAGES,Monocyte/Secreted,SAMSN1
MACROPHAGES,Cell-cycle,H2AFV
MACROPHAGES,Interferon,FAM26F
MACROPHAGES,MES/Glycolysis,ERO1A
MACROPHAGES,MAC1,LY6E
MACROPHAGES,Stress/HSP,BTG2
MACROPHAGES,MAC2,STXBP2
MACROPHAGES,Proteasomal-degradation,FPR1
MACROPHAGES,MAC3,RB1
MACROPHAGES,MYC/Mitochondria,PSMC4
MACROPHAGES,Unfolded-protein-response,SSR2
MACROPHAGES,Respiration,HSPE1
MACROPHAGES,Lipid-associated,STAB1
MACROPHAGES,Monocyte/Secreted,SOCS3
MACROPHAGES,Cell-cycle,H2AZ1
MACROPHAGES,Interferon,PSMB9
MACROPHAGES,MES/Glycolysis,P4HA1
MACROPHAGES,MAC1,MAFB
MACROPHAGES,Stress/HSP,CACYBP
MACROPHAGES,MAC2,TGM2
MACROPHAGES,Proteasomal-degradation,S100A9
MACROPHAGES,MAC3,ENTPD1
MACROPHAGES,MYC/Mitochondria,SNRPD1
MACROPHAGES,Unfolded-protein-response,ZFAS1
MACROPHAGES,Respiration,IFI27L2
MACROPHAGES,Lipid-associated,CD9
MACROPHAGES,Monocyte/Secreted,PLIN2
MACROPHAGES,Cell-cycle,ANP32E
MACROPHAGES,Interferon,SERPING1
MACROPHAGES,MES/Glycolysis,ADAM8
MACROPHAGES,MAC1,MS4A7
MACROPHAGES,Stress/HSP,CXCR4
MACROPHAGES,MAC2,TREM1
MACROPHAGES,Proteasomal-degradation,GLIPR2
MACROPHAGES,MAC3,STAB1
MACROPHAGES,MYC/Mitochondria,ISOC2
MACROPHAGES,Unfolded-protein-response,XPOT
MACROPHAGES,Respiration,C19ORF70
MACROPHAGES,Lipid-associated,GCHFR
MACROPHAGES,Monocyte/Secreted,SLC25A37
MACROPHAGES,Cell-cycle,CENPM
MACROPHAGES,Interferon,GBP2
MACROPHAGES,MES/Glycolysis,ANXA1
MACROPHAGES,MAC1,MT2A
MACROPHAGES,Stress/HSP,ZFP36
MACROPHAGES,MAC2,AGRP
MACROPHAGES,Proteasomal-degradation,NAGK
MACROPHAGES,MAC3,A2M
MACROPHAGES,MYC/Mitochondria,CCDC85B
MACROPHAGES,Unfolded-protein-response,MT2A
MACROPHAGES,Respiration,GADD45GIP1
MACROPHAGES,Lipid-associated,ASAH1
MACROPHAGES,Monocyte/Secreted,RGS2
MACROPHAGES,Cell-cycle,DNMT1
MACROPHAGES,Interferon,OAS2
MACROPHAGES,MES/Glycolysis,MT1E
MACROPHAGES,MAC1,MTSS1
MACROPHAGES,Stress/HSP,MALAT1
MACROPHAGES,MAC2,AKR1C3
MACROPHAGES,Proteasomal-degradation,TUBA1A
